TRACTCE10,BLOCKCE10,GEOID10,CTBLOCK,PLACE,CITY,TotalPop,Hispanic,White,Black,AmerIndian,Asian,Hawaii_Pac,Other,TwoPlus,TotUnits,OccUnits,VacUnits,ORIG_FID,POINT_X,POINT_Y
21204,2022,6.07E+13,212042022,1192,19,87,21,64,0,2,0,0,0,0,30,30,0,900,-116.7523261,32.82963018
21206,1044,6.07E+13,212061044,1192,19,56,4,47,0,2,0,0,0,3,19,19,0,901,-116.7608873,32.84180435
21205,3008,6.07E+13,212053008,1192,19,21,9,11,0,0,1,0,0,0,10,10,0,902,-116.7614389,32.83586723
21204,2021,6.07E+13,212042021,1192,19,22,0,17,0,0,5,0,0,0,5,5,0,903,-116.7516203,32.83256258
21204,2016,6.07E+13,212042016,1192,19,31,0,31,0,0,0,0,0,0,10,10,0,904,-116.7496095,32.82611354
21204,2042,6.07E+13,212042042,1192,19,10,2,8,0,0,0,0,0,0,6,5,1,906,-116.7390115,32.83249694
21204,2001,6.07E+13,212042001,1192,19,8,5,3,0,0,0,0,0,0,3,3,0,907,-116.7196348,32.83627757
21206,1058,6.07E+13,212061058,1192,19,3,0,0,2,1,0,0,0,0,1,1,0,909,-116.724335,32.83471662
21204,2026,6.07E+13,212042026,1192,19,39,1,38,0,0,0,0,0,0,13,13,0,911,-116.7486658,32.82423516
21000,2077,6.07E+13,210002077,7596,19,8,8,0,0,0,0,0,0,0,2,2,0,912,-116.3780756,33.27378243
21000,2122,6.07E+13,210002122,7596,19,5,0,5,0,0,0,0,0,0,5,3,2,913,-116.3931381,33.27140275
21000,2115,6.07E+13,210002115,7596,19,8,0,7,0,0,1,0,0,0,6,3,3,914,-116.3913317,33.28405351
21000,2112,6.07E+13,210002112,7596,19,10,0,10,0,0,0,0,0,0,6,6,0,915,-116.3834453,33.29039081
21000,2062,6.07E+13,210002062,7596,19,6,0,6,0,0,0,0,0,0,16,4,12,916,-116.3867775,33.29427006
21000,2069,6.07E+13,210002069,7596,19,8,0,8,0,0,0,0,0,0,6,4,2,920,-116.3908302,33.31905886
21000,1133,6.07E+13,210001133,99999,19,4,0,4,0,0,0,0,0,0,14,3,11,923,-116.1315085,33.135371
21000,1289,6.07E+13,210001289,99999,19,1,0,1,0,0,0,0,0,0,2,1,1,924,-116.2448201,32.90312481
19001,3007,6.07E+13,190013007,23462,19,132,21,109,0,0,2,0,0,0,49,45,4,928,-117.219968,33.38889401
19001,2044,6.07E+13,190012044,99999,19,2,0,2,0,0,0,0,0,0,1,1,0,929,-117.2014267,33.41458861
19001,2004,6.07E+13,190012004,59248,19,11,0,11,0,0,0,0,0,0,9,9,0,930,-117.1638161,33.41174295
19001,1013,6.07E+13,190011013,99999,19,27,10,11,0,0,5,0,0,1,7,5,2,933,-117.3391463,33.45328396
19001,1082,6.07E+13,190011082,99999,19,4,0,4,0,0,0,0,0,0,2,2,0,935,-117.3236465,33.42885403
19001,1035,6.07E+13,190011035,99999,19,16,2,14,0,0,0,0,0,0,9,9,0,936,-117.2979196,33.43878225
18905,1000,6.07E+13,189051000,23462,19,123,98,22,0,0,0,0,0,3,27,27,0,937,-117.2544026,33.37532977
18904,1000,6.07E+13,189041000,23462,19,24,20,4,0,0,0,0,0,0,8,8,0,938,-117.2541147,33.38163677
18903,3017,6.07E+13,189033017,23462,19,122,92,26,1,1,2,0,0,0,38,37,1,939,-117.2518715,33.38599379
19001,2059,6.07E+13,190012059,99999,19,8,1,7,0,0,0,0,0,0,3,2,1,942,-117.2013914,33.39942503
19002,1146,6.07E+13,190021146,99999,19,25,8,17,0,0,0,0,0,0,10,9,1,944,-117.1376466,33.35337139
19002,1074,6.07E+13,190021074,99999,19,9,0,9,0,0,0,0,0,0,3,3,0,945,-117.1450804,33.39087585
18802,2006,6.07E+13,188022006,23462,19,20,0,20,0,0,0,0,0,0,6,6,0,947,-117.2101154,33.34857598
18803,2034,6.07E+13,188032034,7498,19,14,2,12,0,0,0,0,0,0,8,6,2,949,-117.1714508,33.25832395
19001,2021,6.07E+13,190012021,99999,19,23,10,10,0,0,0,0,0,3,9,7,2,951,-117.1802492,33.41952621
21302,1081,6.07E+13,213021081,99999,19,79,37,26,2,3,4,0,3,4,31,29,2,954,-116.7593899,32.64037542
21302,1024,6.07E+13,213021024,99999,19,13,5,8,0,0,0,0,0,0,4,4,0,955,-116.7619208,32.65932546
21302,2123,6.07E+13,213022123,99999,19,12,7,5,0,0,0,0,0,0,6,5,1,957,-116.7243691,32.71380714
21303,2006,6.07E+13,213032006,37120,19,169,20,134,4,0,10,0,0,1,40,40,0,963,-116.9258515,32.7342918
21100,2303,6.07E+13,211002303,7694,19,76,9,59,1,0,1,0,0,6,42,34,8,973,-116.2814128,32.65876725
21100,2282,6.07E+13,211002282,99999,19,45,10,35,0,0,0,0,0,0,21,16,5,974,-116.3061056,32.67855749
21100,2401,6.07E+13,211002401,7694,19,9,5,4,0,0,0,0,0,0,4,4,0,975,-116.3134966,32.6709757
21100,2347,6.07E+13,211002347,99999,19,16,6,0,0,10,0,0,0,0,4,4,0,976,-116.3559161,32.6398689
21100,2344,6.07E+13,211002344,99999,19,73,12,52,1,0,2,0,3,3,24,19,5,977,-116.3297274,32.65652896
9400,1015,6.07E+13,94001015,66000,14,107,36,43,13,0,3,0,0,12,25,25,0,982,-117.1275367,32.89129374
9400,1023,6.07E+13,94001023,66000,14,338,67,189,37,4,12,0,1,28,126,113,13,990,-117.1343346,32.89217363
17042,1001,6.07E+13,170421001,58520,13,8,1,1,0,0,6,0,0,0,2,2,0,991,-117.0657583,32.94973532
17041,4008,6.07E+13,170414008,58520,13,226,51,119,3,0,36,0,0,17,84,79,5,993,-117.0378882,32.96395178
17041,4006,6.07E+13,170414006,58520,13,30,4,25,1,0,0,0,0,0,9,9,0,994,-117.0399714,32.96359759
17041,3005,6.07E+13,170413005,58520,13,84,20,33,2,0,20,0,0,9,25,25,0,995,-117.0484782,32.95726626
17041,2005,6.07E+13,170412005,58520,13,815,445,238,20,1,86,1,1,23,250,244,6,996,-117.0424793,32.95872474
17041,2003,6.07E+13,170412003,58520,13,199,29,152,3,0,13,0,0,2,77,76,1,997,-117.0423464,32.96373094
17006,2000,6.07E+13,170062000,58520,13,603,38,516,14,1,21,0,0,13,205,204,1,999,-117.0443256,33.0102537
17006,1009,6.07E+13,170061009,66000,14,84,3,58,0,0,12,2,0,9,30,28,2,1000,-117.055082,33.01716481
16617,1019,6.07E+13,166171019,70224,16,25,0,24,1,0,0,0,0,0,19,18,1,1001,-116.9679672,32.83632847
16615,1037,6.07E+13,166151037,70224,16,8,5,1,0,0,2,0,0,0,3,3,0,1002,-116.9690818,32.83984049
8333,2026,6.07E+13,83332026,66000,14,182,13,105,1,0,56,0,0,7,54,53,1,1004,-117.2188985,32.92158356
8333,2001,6.07E+13,83332001,66000,14,832,49,545,4,0,215,0,2,17,239,231,8,1007,-117.2118349,32.93286565
21500,3007,6.07E+13,215003007,66000,14,61,9,42,0,0,7,0,3,0,19,19,0,1008,-117.2121948,32.95000005
8331,1003,6.07E+13,83311003,66000,14,331,20,244,0,0,51,0,0,16,128,126,2,1009,-117.2262254,32.94565125
16615,1018,6.07E+13,166151018,70224,16,184,37,104,29,8,5,1,0,0,0,0,0,1011,-116.9748806,32.85002247
16614,2007,6.07E+13,166142007,70224,16,80,12,58,0,0,8,0,0,2,28,27,1,1012,-116.9902675,32.85334697
16614,2013,6.07E+13,166142013,70224,16,95,26,64,0,0,0,0,0,5,31,31,0,1013,-116.9947768,32.84937196
7905,1003,6.07E+13,79051003,66000,14,108,6,99,0,0,2,0,0,1,139,55,84,1014,-117.2583699,32.80042487
7800,5016,6.07E+13,78005016,66000,14,36,5,27,4,0,0,0,0,0,12,11,1,1015,-117.2281783,32.80519555
